rank,thai_word,syllable_count,variant_count,category,difficulty,decomposition,rtgs_romanization,variants
9093,ฝุ่นละออง,3,16,compound,medium,[f/u/n] | [l/a/] | [?/OO/N],funla-ong,foonlaawng; foonlahawng; foonlahohng; foonlahong; foonlahorng; foonlaohng; foonlaong; foonlaorng; funlaawng; funlahawng; funlahohng; funlahong; funlahorng; funlaohng; funlaong; funlaorng
9121,การเข้าสู่,3,100,compound,medium,[k/aa/n] | [kh/aw/] | [s/uu/],kankhaosu,gaankaaosoo; gaankaaosou; gaankaaosu; gaankaaosuu; gaankaosoo; gaankaosou; gaankaosu; gaankaosuu; gaankaowsoo; gaankaowsou; gaankaowsu; gaankaowsuu; gaankausoo; gaankausou; gaankausu; gaankausuu; gaankawsoo; gaankawsou; gaankawsu; gaankawsuu; gaankhaaosoo; gaankhaaosou; gaankhaaosu; gaankhaaosuu; gaankhaosoo; gaankhaosou; gaankhaosu; gaankhaosuu; gaankhaowsoo; gaankhaowsou; gaankhaowsu; gaankhaowsuu; gaankhausoo; gaankhausou; gaankhausu; gaankhausuu; gaankhawsoo; gaankhawsou; gaankhawsu; gaankhawsuu; gaankhowsoo; gaankhowsou; gaankhowsu; gaankhowsuu; gaankowsoo; gaankowsou; gaankowsu; gaankowsuu; gahnkaaosoo; gahnkaaosou
9138,เห็นแก่,2,4,common,easy,[h/e/n] | [k/xx/],henkae,hengaae; hengae; henkaae; henkae
9203,มอลต์,1,4,common,easy,[m/OO/n],mon,mawn; mohn; mon; morn
9216,คำสั่งศาล,3,72,compound,medium,[kh/a/m] | [s/a/N] | [s/aa/n],khamsangsan,kahmsahngsaan; kahmsahngsahn; kahmsahngsan; kahmsahngsarn; kahmsangsaan; kahmsangsahn; kahmsangsan; kahmsangsarn; kahmsungsaan; kahmsungsahn; kahmsungsan; kahmsungsarn; kamsahngsaan; kamsahngsahn; kamsahngsan; kamsahngsarn; kamsangsaan; kamsangsahn; kamsangsan; kamsangsarn; kamsungsaan; kamsungsahn; kamsungsan; kamsungsarn; khahmsahngsaan; khahmsahngsahn; khahmsahngsan; khahmsahngsarn; khahmsangsaan; khahmsangsahn; khahmsangsan; khahmsangsarn; khahmsungsaan; khahmsungsahn; khahmsungsan; khahmsungsarn; khamsahngsaan; khamsahngsahn; khamsahngsan; khamsahngsarn; khamsangsaan; khamsangsahn; khamsangsan; khamsangsarn; khamsungsaan; khamsungsahn; khamsungsan; khamsungsarn; khumsahngsaan; khumsahngsahn
9223,พ่อบ้าน,2,32,variant,medium,[ph/OO/] | [b/aa/n],phoban,pawbaan; pawbahn; pawban; pawbarn; phawbaan; phawbahn; phawban; phawbarn; phobaan; phobahn; phoban; phobarn; phohbaan; phohbahn; phohban; phohbarn; phorbaan; phorbahn; phorban; phorbarn; pobaan; pobahn; poban; pobarn; pohbaan; pohbahn; pohban; pohbarn; porbaan; porbahn; porban; porbarn
9241,ค่าเงิน,2,24,variant,medium,[kh/aa/] | [N/@/n],khangoen,kaangeon; kaangern; kaangoen; kahngeon; kahngern; kahngoen; kangeon; kangern; kangoen; karngeon; karngern; karngoen; khaangeon; khaangern; khaangoen; khahngeon; khahngern; khahngoen; khangeon; khangern; khangoen; kharngeon; kharngern; kharngoen
9313,ซื่อสัตย์,2,24,variant,medium,[s/UU/] | [s/a/t],suesat,seusad; seusahd; seusaht; seusat; seusud; seusut; sueesad; sueesahd; sueesaht; sueesat; sueesud; sueesut; suesad; suesahd; suesaht; suesat; suesud; suesut; suhsad; suhsahd; suhsaht; suhsat; suhsud; suhsut
9339,เป็นขุย,2,8,common,easy,[p/e/n] | [kh/u/j],penkhui,bpenkhooi; bpenkhui; bpenkooi; bpenkui; penkhooi; penkhui; penkooi; penkui
9369,ขวาน,1,8,common,medium,[khw/aa/n],khwan,khwaan; khwahn; khwan; khwarn; kwaan; kwahn; kwan; kwarn
9375,พยากรณ์,3,100,compound,medium,[ph/a/] | [j/aa/] | [k/OO/n],phayakon,pahyaagawn; pahyaagohn; pahyaagon; pahyaagorn; pahyaakawn; pahyaakohn; pahyaakon; pahyaakorn; pahyagawn; pahyagohn; pahyagon; pahyagorn; pahyahgawn; pahyahgohn; pahyahgon; pahyahgorn; pahyahkawn; pahyahkohn; pahyahkon; pahyahkorn; pahyakawn; pahyakohn; pahyakon; pahyakorn; pahyargawn; pahyargohn; pahyargon; pahyargorn; pahyarkawn; pahyarkohn; pahyarkon; pahyarkorn; payaagawn; payaagohn; payaagon; payaagorn; payaakawn; payaakohn; payaakon; payaakorn; payagawn; payagohn; payagon; payagorn; payahgawn; payahgohn; payahgon; payahgorn; payahkawn; payahkohn
9438,ขัดข้อง,2,96,variant,medium,[kh/a/t] | [kh/OO/N],khatkhong,kadkawng; kadkhawng; kadkhohng; kadkhong; kadkhorng; kadkohng; kadkong; kadkorng; kahdkawng; kahdkhawng; kahdkhohng; kahdkhong; kahdkhorng; kahdkohng; kahdkong; kahdkorng; kahtkawng; kahtkhawng; kahtkhohng; kahtkhong; kahtkhorng; kahtkohng; kahtkong; kahtkorng; katkawng; katkhawng; katkhohng; katkhong; katkhorng; katkohng; katkong; katkorng; khadkawng; khadkhawng; khadkhohng; khadkhong; khadkhorng; khadkohng; khadkong; khadkorng; khahdkawng; khahdkhawng; khahdkhohng; khahdkhong; khahdkhorng; khahdkohng; khahdkong; khahdkorng; khahtkawng; khahtkhawng
9440,ข่าวต่างประเทศ,4,100,compound,hard,[kh/aa/w] | [t/aa/N] | [pr/a/] | [th/ee/t],khaotangprathet,kaaodtaangprahtaed; kaaodtaangprahtaet; kaaodtaangprahtayd; kaaodtaangprahtayt; kaaodtaangprahted; kaaodtaangprahteed; kaaodtaangprahteet; kaaodtaangprahtehd; kaaodtaangprahteht; kaaodtaangprahtet; kaaodtaangprahthaed; kaaodtaangprahthaet; kaaodtaangprahthayd; kaaodtaangprahthayt; kaaodtaangprahthed; kaaodtaangprahtheed; kaaodtaangprahtheet; kaaodtaangprahthehd; kaaodtaangprahtheht; kaaodtaangprahthet; kaaodtaangprataed; kaaodtaangprataet; kaaodtaangpratayd; kaaodtaangpratayt; kaaodtaangprated; kaaodtaangprateed; kaaodtaangprateet; kaaodtaangpratehd; kaaodtaangprateht; kaaodtaangpratet; kaaodtaangprathaed; kaaodtaangprathaet; kaaodtaangprathayd; kaaodtaangprathayt; kaaodtaangprathed; kaaodtaangpratheed; kaaodtaangpratheet; kaaodtaangprathehd; kaaodtaangpratheht; kaaodtaangprathet; kaaodtahngprahtaed; kaaodtahngprahtaet; kaaodtahngprahtayd; kaaodtahngprahtayt; kaaodtahngprahted; kaaodtahngprahteed; kaaodtahngprahteet; kaaodtahngprahtehd; kaaodtahngprahteht; kaaodtahngprahtet
9450,นิเวศ,2,20,variant,medium,[n/i/] | [w/ee/t],niwet,nivaed; nivaet; nivayd; nivayt; nived; niveed; niveet; nivehd; niveht; nivet; niwaed; niwaet; niwayd; niwayt; niwed; niweed; niweet; niwehd; niweht; niwet
9468,รีฟ,1,6,common,easy,[r/ii/p],rip,reeb; reep; rib; riib; riip; rip
9495,ปะปน,2,16,variant,medium,[p/a/] | [p/o/n],papon,bpabpohn; bpabpon; bpahbpohn; bpahbpon; bpahpohn; bpahpon; bpapohn; bpapon; pabpohn; pabpon; pahbpohn; pahbpon; pahpohn; pahpon; papohn; papon
9525,ยื้อ,1,4,common,easy,[j/UU/],yue,yeu; yue; yuee; yuh
9535,โต๊ะอาหาร,3,64,compound,medium,[t/o/] | [?/aa/] | [h/aa/n],to-ahan,dtoaahaan; dtoaahahn; dtoaahan; dtoaaharn; dtoahaan; dtoahahn; dtoahan; dtoaharn; dtoahhaan; dtoahhahn; dtoahhan; dtoahharn; dtoarhaan; dtoarhahn; dtoarhan; dtoarharn; dtohaahaan; dtohaahahn; dtohaahan; dtohaaharn; dtohahaan; dtohahahn; dtohahan; dtohaharn; dtohahhaan; dtohahhahn; dtohahhan; dtohahharn; dtoharhaan; dtoharhahn; dtoharhan; dtoharharn; toaahaan; toaahahn; toaahan; toaaharn; toahaan; toahahn; toahan; toaharn; toahhaan; toahhahn; toahhan; toahharn; toarhaan; toarhahn; toarhan; toarharn; tohaahaan; tohaahahn
9536,ที่ว่าการอำเภอ,5,100,compound,hard,[th/ii/] | [w/aa/] | [k/aa/n] | [?/a/m] | [ph/@@/],thiwakan-amphoe,teevaagaanahmpeo; teevaagaanahmper; teevaagaanahmpheo; teevaagaanahmpher; teevaagaanahmphoe; teevaagaanahmphuh; teevaagaanahmphur; teevaagaanahmpoe; teevaagaanahmpuh; teevaagaanahmpur; teevaagaanampeo; teevaagaanamper; teevaagaanampheo; teevaagaanampher; teevaagaanamphoe; teevaagaanamphuh; teevaagaanamphur; teevaagaanampoe; teevaagaanampuh; teevaagaanampur; teevaagaanumpeo; teevaagaanumper; teevaagaanumpheo; teevaagaanumpher; teevaagaanumphoe; teevaagaanumphuh; teevaagaanumphur; teevaagaanumpoe; teevaagaanumpuh; teevaagaanumpur; teevaagahnahmpeo; teevaagahnahmper; teevaagahnahmpheo; teevaagahnahmpher; teevaagahnahmphoe; teevaagahnahmphuh; teevaagahnahmphur; teevaagahnahmpoe; teevaagahnahmpuh; teevaagahnahmpur; teevaagahnampeo; teevaagahnamper; teevaagahnampheo; teevaagahnampher; teevaagahnamphoe; teevaagahnamphuh; teevaagahnamphur; teevaagahnampoe; teevaagahnampuh; teevaagahnampur
9550,ส่าย,1,2,common,easy,[s/aa/j],sai,saai; sai
9554,หากว่า,2,64,variant,medium,[h/aa/k] | [w/aa/],hakwa,haagva; haagvaa; haagvah; haagvar; haagwa; haagwaa; haagwah; haagwar; haakva; haakvaa; haakvah; haakvar; haakwa; haakwaa; haakwah; haakwar; hagva; hagvaa; hagvah; hagvar; hagwa; hagwaa; hagwah; hagwar; hahgva; hahgvaa; hahgvah; hahgvar; hahgwa; hahgwaa; hahgwah; hahgwar; hahkva; hahkvaa; hahkvah; hahkvar; hahkwa; hahkwaa; hahkwah; hahkwar; hakva; hakvaa; hakvah; hakvar; hakwa; hakwaa; hakwah; hakwar; hargva; hargvaa
9575,ตรอก,1,16,variant,medium,[tr/OO/k],trok,dtrawg; dtrawk; dtrog; dtrohg; dtrohk; dtrok; dtrorg; dtrork; trawg; trawk; trog; trohg; trohk; trok; trorg; trork
9629,น่าสงสัย,3,24,compound,medium,[n/aa/] | [s/o/N] | [s/aj/],nasongsai,naasohngsaai; naasohngsai; naasohngsaii; naasongsaai; naasongsai; naasongsaii; nahsohngsaai; nahsohngsai; nahsohngsaii; nahsongsaai; nahsongsai; nahsongsaii; narsohngsaai; narsohngsai; narsohngsaii; narsongsaai; narsongsai; narsongsaii; nasohngsaai; nasohngsai; nasohngsaii; nasongsaai; nasongsai; nasongsaii
9676,เดีย,1,3,common,easy,[d/iia/],dia,dea; dia; diia
9698,คิตตี้,3,48,compound,medium,[kh/i/] | [t/a/] | [t/ii/],khitati,khidtadtee; khidtadti; khidtadtii; khidtahdtee; khidtahdti; khidtahdtii; khidtahtee; khidtahti; khidtahtii; khidtatee; khidtati; khidtatii; khitadtee; khitadti; khitadtii; khitahdtee; khitahdti; khitahdtii; khitahtee; khitahti; khitahtii; khitatee; khitati; khitatii; kidtadtee; kidtadti; kidtadtii; kidtahdtee; kidtahdti; kidtahdtii; kidtahtee; kidtahti; kidtahtii; kidtatee; kidtati; kidtatii; kitadtee; kitadti; kitadtii; kitahdtee; kitahdti; kitahdtii; kitahtee; kitahti; kitahtii; kitatee; kitati; kitatii
9711,สะบ้า,2,8,common,easy,[s/a/] | [b/aa/],saba,saba; sabaa; sabah; sabar; sahba; sahbaa; sahbah; sahbar
9722,เซนเซอร์,2,25,variant,medium,[s/ee/n] | [s/@@/],sensoe,saenseo; saenser; saensoe; saensuh; saensur; saynseo; saynser; saynsoe; saynsuh; saynsur; seenseo; seenser; seensoe; seensuh; seensur; sehnseo; sehnser; sehnsoe; sehnsuh; sehnsur; senseo; senser; sensoe; sensuh; sensur
9768,เนื่อ,1,3,common,easy,[n/UUa/],nuea,neua; nuea; nueaa
9772,เฉลย,2,8,common,medium,[ch/a/] | [l/@@/j],chaloei,chahleoi; chahloei; chaleoi; chaloei; shahleoi; shahloei; shaleoi; shaloei
9833,ทางขวา,2,64,variant,medium,[th/aa/N] | [khw/aa/],thangkhwa,taangkhwa; taangkhwaa; taangkhwah; taangkhwar; taangkwa; taangkwaa; taangkwah; taangkwar; tahngkhwa; tahngkhwaa; tahngkhwah; tahngkhwar; tahngkwa; tahngkwaa; tahngkwah; tahngkwar; tangkhwa; tangkhwaa; tangkhwah; tangkhwar; tangkwa; tangkwaa; tangkwah; tangkwar; tarngkhwa; tarngkhwaa; tarngkhwah; tarngkhwar; tarngkwa; tarngkwaa; tarngkwah; tarngkwar; thaangkhwa; thaangkhwaa; thaangkhwah; thaangkhwar; thaangkwa; thaangkwaa; thaangkwah; thaangkwar; thahngkhwa; thahngkhwaa; thahngkhwah; thahngkhwar; thahngkwa; thahngkwaa; thahngkwah; thahngkwar; thangkhwa; thangkhwaa
9843,ลูกเต๋า,2,96,variant,medium,[l/uu/k] | [t/aw/],luktao,loogdtaao; loogdtao; loogdtaow; loogdtau; loogdtaw; loogdtow; loogtaao; loogtao; loogtaow; loogtau; loogtaw; loogtow; lookdtaao; lookdtao; lookdtaow; lookdtau; lookdtaw; lookdtow; looktaao; looktao; looktaow; looktau; looktaw; looktow; lougdtaao; lougdtao; lougdtaow; lougdtau; lougdtaw; lougdtow; lougtaao; lougtao; lougtaow; lougtau; lougtaw; lougtow; loukdtaao; loukdtao; loukdtaow; loukdtau; loukdtaw; loukdtow; louktaao; louktao; louktaow; louktau; louktaw; louktow; lugdtaao; lugdtao
9870,วลัย,2,12,variant,medium,[w/a/] | [l/aj/],walai,vahlaai; vahlai; vahlaii; valaai; valai; valaii; wahlaai; wahlai; wahlaii; walaai; walai; walaii
9928,กรมสรรพากร,4,100,compound,hard,[kr/o/m] | [s/a/n] | [ph/aa/] | [k/OO/n],kromsanphakon,grohmsahnpaagawn; grohmsahnpaagohn; grohmsahnpaagon; grohmsahnpaagorn; grohmsahnpaakawn; grohmsahnpaakohn; grohmsahnpaakon; grohmsahnpaakorn; grohmsahnpagawn; grohmsahnpagohn; grohmsahnpagon; grohmsahnpagorn; grohmsahnpahgawn; grohmsahnpahgohn; grohmsahnpahgon; grohmsahnpahgorn; grohmsahnpahkawn; grohmsahnpahkohn; grohmsahnpahkon; grohmsahnpahkorn; grohmsahnpakawn; grohmsahnpakohn; grohmsahnpakon; grohmsahnpakorn; grohmsahnpargawn; grohmsahnpargohn; grohmsahnpargon; grohmsahnpargorn; grohmsahnparkawn; grohmsahnparkohn; grohmsahnparkon; grohmsahnparkorn; grohmsahnphaagawn; grohmsahnphaagohn; grohmsahnphaagon; grohmsahnphaagorn; grohmsahnphaakawn; grohmsahnphaakohn; grohmsahnphaakon; grohmsahnphaakorn; grohmsahnphagawn; grohmsahnphagohn; grohmsahnphagon; grohmsahnphagorn; grohmsahnphahgawn; grohmsahnphahgohn; grohmsahnphahgon; grohmsahnphahgorn; grohmsahnphahkawn; grohmsahnphahkohn
9973,คอนโซล,1,8,common,medium,[kh/OO/],kho,kaw; khaw; kho; khoh; khor; ko; koh; kor
